,AOU,n_rutas,first_year,last_year,timeseries length,English_Common_Name,French_Common_Name,Order,Family,Genus,Species
203,2770,7,2007,2019,12,Piping Plover,Pluvier siffleur,Charadriiformes,Charadriidae,Charadrius,melodus
320,3910,7,2002,2019,17,Green Kingfisher,Martin-pêcheur vert,Coraciiformes,Alcedinidae,Chloroceryle,americana
726,8110,7,2016,2023,7,Scaly-breasted Munia,Capucin damier,Passeriformes,Estrildidae,Lonchura,punctulata
587,6296,6,1997,2023,26,unid. Plumbeous Vireo / Cassin's Vireo,unid Viréo plombé / Viréo de Cassin,Passeriformes,Vireonidae,Vireo,plumbeus / cassinii
175,2410,6,2011,2023,12,Baird's Sandpiper,Bécasseau de Baird,Charadriiformes,Scolopacidae,Calidris,bairdii
242,3152,6,1999,2011,12,African Collared-Dove (a.k.a. Ringed Turtle-Dove),Tourterelle rieuse,Columbiformes,Columbidae,Streptopelia,roseogrisea
283,3590,6,2004,2012,8,Aplomado Falcon,Faucon aplomado,Falconiformes,Falconidae,Falco,femoralis
457,5031,6,1997,2023,26,Altamira Oriole,Oriole à gros bec,Passeriformes,Icteridae,Icterus,gularis
85,1360,6,2001,2018,17,Eurasian Wigeon,Canard siffleur,Anseriformes,Anatidae,Mareca,penelope
169,2327,6,2000,2013,13,unid. Short-billed / Long-billed Dowitcher,unid Bécassin roux / Bécassin à long bec,Charadriiformes,Scolopacidae,Limnodromus,griseus / scolopaceus
319,3901,5,1998,2022,24,Ringed Kingfisher,Martin-pêcheur à ventre roux,Coraciiformes,Alcedinidae,Megaceryle,torquata
310,3830,5,1999,2015,16,Smooth-billed Ani,Ani à bec lisse,Cuculiformes,Cuculidae,Crotophaga,ani
694,7354,5,1998,2019,21,unid. Black-capped Chickadee / Boreal Chickadee,unid Mésange à tête noire / Mésange à tête brune,Passeriformes,Paridae,Poecile,atricapillus / hudsonicus
628,6686,5,2013,2017,4,hybrid Townsend's Warbler x Hermit Warbler,hybride Paruline de Townsend x à tête jaune,Passeriformes,Parulidae,Setophaga,townsendi x occidentalis
108,1620,5,2004,2023,19,King Eider,Eider à tête grise,Anseriformes,Anatidae,Somateria,spectabilis
61,900,5,2004,2008,4,Manx Shearwater,Puffin des Anglais,Procellariiformes,Procellariidae,Puffinus,puffinus
207,2820,5,2003,2009,6,Surfbird,Bécasseau du ressac,Charadriiformes,Scolopacidae,Calidris,virgata
733,51830,5,2017,2022,5,Nanday Parakeet,Conure nanday,Psittaciformes,Psittacidae,Aratinga,nenday
553,5986,4,2009,2022,13,hybrid Lazuli Bunting x Indigo Bunting,hybride Passerin azuré x Passerin indigo,Passeriformes,Cardinalidae,Passerina,amoena x cyanea
300,3760,4,2011,2022,11,Snowy Owl,Harfang des neiges,Strigiformes,Strigidae,Bubo,scandiacus
171,2340,4,2017,2022,5,Red Knot,Bécasseau maubèche,Charadriiformes,Scolopacidae,Calidris,canutus
304,3800,4,1998,2014,16,Ferruginous Pygmy-Owl,Chevêchette brune,Strigiformes,Strigidae,Glaucidium,brasilianum
23,310,3,2004,2011,7,Thick-billed Murre,Guillemot de Brünnich,Charadriiformes,Alcidae,Uria,lomvia
729,19510,3,2019,2023,4,Pin-tailed Whydah,Veuve dominicaine,Passeriformes,Viduidae,Vidua,macroura
653,6990,3,2006,2008,2,Red-throated Pipit,Pipit à gorge rousse,Passeriformes,Motacillidae,Anthus,cervinus
106,1580,3,2021,2023,2,Spectacled Eider,Eider à lunettes,Anseriformes,Anatidae,Somateria,fischeri
485,5261,3,2018,2023,5,European Goldfinch,Chardonneret élégant,Passeriformes,Fringillidae,Carduelis,carduelis
247,3201,3,2003,2021,18,Ruddy Ground Dove,Colombe rousse,Columbiformes,Columbidae,Columbina,talpacoti
150,2090,3,2011,2018,7,unid. Clapper / King Rail,unid Râle élégant / Râle Gris,Gruiformes,Rallidae,Rallus,crepitans / elegans
458,5032,3,2002,2010,8,Spot-breasted Oriole,Oriole maculé,Passeriformes,Icteridae,Icterus,pectoralis
483,5250,3,1997,2006,9,Black Rosy-Finch,Roselin noir,Passeriformes,Fringillidae,Leucosticte,atrata
238,3130,3,1997,2021,24,Red-billed Pigeon,Pigeon à bec rouge,Columbiformes,Columbidae,Patagioenas,flavirostris
701,7421,3,2021,2023,2,Swinhoe’s White-eye,Zostérops de Swinhoe,Passeriformes,Zosteropidae,Zosterops,simplex
373,4370,3,2006,2018,12,Lucifer Hummingbird,Colibri lucifer,Apodiformes,Trochilidae,Calothorax,lucifer
365,4295,3,2012,2018,6,unid. Ruby-throated / Black-chinned Hummingbird,unid Colibri à gorge rubis / Colibri à gorge noire,Apodiformes,Trochilidae,Archilochus,colubris / alexandri
15,140,3,2005,2011,6,Horned Puffin,Macareux cornu,Charadriiformes,Alcidae,Fratercula,corniculata
308,3826,3,2019,2022,3,Red-crowned Parrot,Amazone à joues vertes,Psittaciformes,Psittacidae,Amazona,viridigenalis
174,2400,3,2021,2023,2,White-rumped Sandpiper,Bécasseau à croupion blanc,Charadriiformes,Scolopacidae,Calidris,fuscicollis
160,2220,3,2021,2023,2,Red Phalarope,Phalarope à bec large,Charadriiformes,Scolopacidae,Phalaropus,fulicarius
105,1570,3,2021,2023,2,Steller's Eider,Eider de Steller,Anseriformes,Anatidae,Polysticta,stelleri
68,1206,2,2012,2012,0,unid. Double-crested Cormorant / Great Cormorant,Cormoran à aigrettes / Grand Cormoran,Suliformes,Phalacrocoracidae,Nannopterum,auritus / carbo
