Seq,AOU,English_Common_Name,French_Common_Name,Order,Family,Genus,Species
260,2111,Ridgway's Rail,Râle de Californie,Gruiformes,Rallidae,Rallus,obsoletus
262,2080,King Rail,Râle élégant,Gruiformes,Rallidae,Rallus,elegans
263,2110,Clapper Rail,Râle tapageur,Gruiformes,Rallidae,Rallus,crepitans
264,2090,unid. Clapper / King Rail,unid Râle élégant / Râle Gris,Gruiformes,Rallidae,Rallus,crepitans / elegans
265,2120,Virginia Rail,Râle de Virginie,Gruiformes,Rallidae,Rallus,limicola
266,2140,Sora,Marouette de Caroline,Gruiformes,Rallidae,Porzana,carolina
267,2190,Common Gallinule,Gallinule d'Amérique,Gruiformes,Rallidae,Gallinula,galeata
268,2210,American Coot,Foulque d'Amérique,Gruiformes,Rallidae,Fulica,americana
269,2180,Purple Gallinule,Talève violacée,Gruiformes,Rallidae,Porphyrio,martinicus
270,21930,Purple Swamphen,Talève sultane,Gruiformes,Rallidae,Porphyrio,porphyrio
271,2150,Yellow Rail,Râle jaune,Gruiformes,Rallidae,Coturnicops,noveboracensis
275,2160,Black Rail,Râle noir,Gruiformes,Rallidae,Laterallus,jamaicensis
277,2070,Limpkin,Courlan brun,Gruiformes,Aramidae,Aramus,guarauna
278,2060,Sandhill Crane,Grue du Canada,Gruiformes,Gruidae,Antigone,canadensis
279,2040,Whooping Crane,Grue blanche,Gruiformes,Gruidae,Grus,americana
281,2260,Black-necked Stilt,Échasse d'Amérique,Charadriiformes,Recurvirostridae,Himantopus,mexicanus
282,2250,American Avocet,Avocette d'Amérique,Charadriiformes,Recurvirostridae,Recurvirostra,americana
283,2860,American Oystercatcher,Huîtrier d'Amérique,Charadriiformes,Haematopodidae,Haematopus,palliatus
284,2870,Black Oystercatcher,Huîtrier de Bachman,Charadriiformes,Haematopodidae,Haematopus,bachmani
286,2700,Black-bellied Plover,Pluvier argenté,Charadriiformes,Charadriidae,Pluvialis,squatarola
288,2720,American Golden-Plover,Pluvier bronzé,Charadriiformes,Charadriidae,Pluvialis,dominica
289,2721,Pacific Golden-Plover,Pluvier fauve,Charadriiformes,Charadriidae,Pluvialis,fulva
291,2730,Killdeer,Pluvier kildir,Charadriiformes,Charadriidae,Charadrius,vociferus
292,2750,Common Ringed Plover,Pluvier grand-gravelot,Charadriiformes,Charadriidae,Charadrius,hiaticula
293,2740,Semipalmated Plover,Pluvier semipalmé,Charadriiformes,Charadriidae,Charadrius,semipalmatus
294,2770,Piping Plover,Pluvier siffleur,Charadriiformes,Charadriidae,Charadrius,melodus
